#miRNA,read_count,precursor,total,cm1,cm2,cm4,cp1,cp2,cp3,cm1(norm),cm2(norm),cm4(norm),cp1(norm),cp2(norm),cp3(norm)
cqu-bantam-5p_MIMAT0014420,88264,cqu-bantam_MI0013610,88264,14985,18493,25413,6097,14419,8857,770.05,836.14,892.26,774.9,927.63,788.89
cqu-bantam-3p_MIMAT0014421,2583136,cqu-bantam_MI0013610,2583136,480152,469572,762220,230795,430619,209778,24673.94,21231.13,26761.98,29332.95,27703.27,18684.9
Cpp-bantam_supercont3.65:199694e199763,4503248,cqu-let-7_MI0013570,4503248,757884,833302,1132446,409552,768190,601874,38945.98,37676.75,39760.82,52052.11,49420.42,53608.84
cqu-let-7-3p_MIMAT0014367,148,cqu-let-7_MI0013570,148,32,60,39,2,15,0,1.64,2.71,1.37,0.25,0.97,0
Cpp-miR-1000_supercont3.153:102798e102891:,182488,cqu-mir-1000_MI0013599,182488,37506,40052,49726,13101,28155,13948,1927.35,1810.9,1745.91,1665.07,1811.31,1242.35
Cpp-miR-100_supercont3.4:271404e271484:,1889160,cqu-mir-100_MI0013585,1889160,420048,376513,438917,169430,272496,211756,21585.33,17023.58,15410.62,21533.75,17530.65,18861.08
cqu-miR-100-3p_MIMAT0014388,36898,cqu-mir-100_MI0013585,36898,6037,7178,8582,3828,7015,4258,310.23,324.54,301.32,486.52,451.3,379.26
Cpp-miR-10-3p_supercont3.12:95990e96072:,48422,cqu-mir-10_MI0013600,48422,8872,8380,13850,3181,7894,6245,455.91,378.89,486.28,404.29,507.85,556.24
cqu-miR-10-5p_MIMAT0014404,362739,cqu-mir-10_MI0013600,362739,73999,69716,99901,26729,53788,38606,3802.64,3152.13,3507.58,3397.13,3460.38,3438.63
Cpp-miR-1174_supercont3.86:865891e865964:,305,cqu-mir-1174_MI0013561,305,264,3,9,4,22,3,13.57,0.14,0.32,0.51,1.42,0.27
Cpp-miR-117_supercont3.86:866106e866187:,298,cqu-mir-1175_MI0013587,298,231,28,22,2,13,2,11.87,1.27,0.77,0.25,0.84,0.18
cqu-miR-1175-3p_MIMAT0014391,70,cqu-mir-1175_MI0013587,70,69,0,0,0,1,0,3.55,0,0,0,0.06,0
Cpp-miR-11-3p_supercont3.153:639659e639743:,1483958,cqu-mir-11_MI0013601,1483958,284749,261474,449673,113468,240138,134456,14632.62,11822.23,15788.27,14421.24,15448.94,11975.98
cqu-miR-11-5p_MIMAT0014406,114952,cqu-mir-11_MI0013601,114952,17749,21347,33973,12139,17896,11848,912.08,965.18,1192.81,1542.81,1151.31,1055.3
Cpp-miR-124_supercont3.8:2074719e2074803:,182719,cqu-mir-124_MI0013565,182719,38508,51420,41887,10832,24298,15774,1978.84,2324.89,1470.68,1376.7,1563.18,1404.99
Cpp-novel-miR12_supercont3.8:2074722e2074801:,7293,cqu-mir-124_MI0013565,7293,1032,1406,1981,697,1393,784,53.03,63.57,69.55,88.59,89.62,69.83
Cpp-miR-125_supercont3.4:280965e281043:,634999,cqu-mir-125_MI0013562,634999,128169,160108,165488,36207,81936,63091,6586.32,7239.09,5810.38,4601.74,5271.24,5619.51
cqu-miR-125-3p_MIMAT0014356,9024,cqu-mir-125_MI0013562,9024,1765,1803,2232,764,1455,1005,90.7,81.52,78.37,97.1,93.61,89.52
Cpp-miR-12-3p_supercont3.153:639666e639741:,85843,cqu-mir-12_MI0013591,85843,17199,19770,25068,4707,11708,7391,883.82,893.88,880.15,598.24,753.22,658.32
cqu-miR-12-5p_MIMAT0014394,11,cqu-mir-12_MI0013591,11,10,1,0,0,0,0,0.51,0.05,0,0,0,0
Cpp-miR-133-3p_supercont3.1189:55672e55785:,64229,cqu-mir-133_MI0013625,64229,18383,18219,10939,3136,7193,6359,944.66,823.75,384.07,398.57,462.75,566.4
Cpp-miR-137-3p_supercont3.1714:27556e27636:,216822,cqu-mir-137_MI0013605,216822,45937,42870,59333,15340,30995,22347,2360.6,1938.32,2083.22,1949.64,1994.02,1990.44
Cpp-miR-13_supercont3.366:116983e117072:,1073079,cqu-mir-13_MI0013571,1073079,183612,260470,306651,66534,158733,97079,9435.41,11776.84,10766.69,8456.16,10211.86,8646.81
Cpp-miR-14-3p_supercont3.676:52241e52327:,4152171,cqu-mir-14_MI0013607,4152171,612287,873107,1176356,233366,760944,496111,31464.07,39476.49,41302.52,29659.71,48954.26,44188.54
Cpp-miR-184-3p_supercont3.567:240302e240382:,5050833,cqu-mir-184_MI0013613,5050833,912419,1052961,1224526,537356,761614,561957,46887.19,47608.37,42993.8,68295.39,48997.36,50053.44
Cpp-miR-1889_supercont3.57:562539e562677:,1916182,cqu-mir-1889_MI0013628,1916182,334316,432626,571795,121781,269094,186570,17179.76,19560.67,20076.05,15477.79,17311.78,16617.77
cqu-miR-1889-3p_MIMAT0014441,17850,cqu-mir-1889_MI0013628,17850,2712,3294,5072,1666,2881,2225,139.36,148.93,178.08,211.74,185.35,198.18
Cpp-miR-1890_supercont3.64:982778e982862:,42811,cqu-mir-1890_MI0013615,42811,8778,8471,12592,2823,6405,3742,451.08,383.01,442.11,358.79,412.06,333.3
Cpp-novel-miR1_supercont3.64:982778e982859:,10686,cqu-mir-1890_MI0013615,10686,1380,1463,2129,1497,2432,1785,70.92,66.15,74.75,190.26,156.46,158.99
Cpp-miR-1891_supercont3.829:180333e180418:,1197241,cqu-mir-1891_MI0013611,1197241,123427,225867,300757,122327,237811,187052,6342.64,10212.31,10559.75,15547.18,15299.24,16660.7
Cpp-novel-miR8-3p_supercont3.829:180337e180416:,165156,cqu-mir-1891_MI0013611,165156,28493,32947,45430,16471,27500,14315,1464.19,1489.66,1595.07,2093.39,1769.17,1275.04
Cpp-miR-190-1_supercont3.181:347902e347986:,53243,cqu-mir-190-1_MI0013598,53243,13917,8868,13158,2951,8779,5570,715.16,400.96,461.98,375.06,564.78,496.12
Cpp-miR-1-3p_supercont3.78:246202e246281:,10493174,cqu-mir-1_MI0013566,10493174,1708026,2677067,2999592,684343,1201777,1222369,87771.66,121040.37,105317.37,86976.74,77314.63,108876.25
Cpp-miR-210-3p_supercont3.549:157647e157724:,99821,cqu-mir-210_MI0013592,99821,25272,22636,23627,6160,13792,8334,1298.67,1023.46,829.56,782.91,887.29,742.31
cqu-miR-210-5p_MIMAT0014396,28957,cqu-mir-210_MI0013592,28957,6007,7578,7611,1983,3520,2258,308.69,342.63,267.23,252.03,226.45,201.12
Cpp-miR-252-1_supercont3.1787:6793e6867:,1304950,cqu-mir-252-1_MI0013576,1304950,297019,225905,339469,111763,197450,133344,15263.15,10214.02,11918.95,14204.55,12702.67,11876.93
cqu-miR-252-3p_MIMAT0014374,7109,cqu-mir-252-1_MI0013576,7109,1355,1192,1864,720,1294,684,69.63,53.89,65.45,91.51,83.25,60.92
Cpp-miR-263_supercont3.219:351799e351880:,2824517,cqu-mir-263_MI0013593,2824517,449156,637397,770615,239069,364968,363312,23081.13,28819.14,27056.73,30384.53,23479.7,32360.15
Cpp-miR-275_supercont3.291:329765e329845:,1044552,cqu-mir-275_MI0013568,1044552,206428,241408,281455,64940,147320,103001,10607.88,10914.97,9882.04,8253.57,9477.62,9174.29
Cpp-miR-276-3p-1_supercont3.136:340857e340942:,4988859,cqu-mir-276-1_MI0013588,4988859,1025651,1140371,1187112,351223,733694,550808,52705.93,51560.51,41680.17,44638.77,47201.17,49060.4
cqu-miR-276-5p_MIMAT0014392,63046,cqu-mir-276-1_MI0013588,63046,8361,11607,18012,6148,12497,6421,429.65,524.8,632.41,781.38,803.98,571.92
Cpp-miR-276-3p-1_supercont3.136:340857e340942:,4989328,cqu-mir-276-2_MI0013589,4989328,1025752,1140418,1187150,351295,733816,550897,52711.12,51562.63,41681.51,44647.92,47209.02,49068.32
cqu-miR-276-5p_MIMAT0014392,204496,cqu-mir-276-2_MI0013589,204496,36422,45213,59589,14233,32743,16296,1871.65,2044.25,2092.2,1808.95,2106.47,1451.48
Cpp-miR-277_supercont3.36:1153726e1153817:,1818405,cqu-mir-277_MI0013574,1818405,347966,363656,563202,112883,249505,181193,17881.2,16442.27,19774.34,14346.89,16051.55,16138.84
Cpp-miR-278-3p_supercont3.16:1026152e1026243:,204580,cqu-mir-278_MI0013578,204580,44711,35778,59714,15138,33680,15559,2297.6,1617.66,2096.59,1923.97,2166.76,1385.84
Cpp-miR-279-3p_supercont3.19:1441114e1441197:,1182898,cqu-mir-279_MI0013608,1182898,217899,252916,378219,66722,155460,111682,11197.35,11435.29,13279.48,8480.05,10001.3,9947.5
cqu-miR-279-5p_MIMAT0014417,2187,cqu-mir-279_MI0013608,2187,393,505,556,176,352,205,20.2,22.83,19.52,22.37,22.65,18.26
Cpp-miR-281-1_supercont3.1661:13247e13325:þ,54632,cqu-mir-281-1_MI0013564,54632,18999,9045,10714,4582,6517,4775,976.32,408.96,376.17,582.35,419.26,425.31
cqu-miR-281-3p_MIMAT0014359,33879,cqu-mir-281-1_MI0013564,33879,13574,5390,7231,1819,3705,2160,697.54,243.7,253.88,231.19,238.36,192.39
Cpp-miR-283_supercont3.57:559440e559549:þ,114032,cqu-mir-283_MI0013580,114032,32633,23421,33290,6193,12433,6062,1676.94,1058.95,1168.83,787.1,799.86,539.94
Cpp-novel-miR17-3p_supercont3.57:559449e559540:,8,cqu-mir-283_MI0013580,8,0,8,0,0,0,0,0,0.36,0,0,0,0
Cpp-miR-285-3p_supercont3.98:262280e262362:,4267916,cqu-mir-285_MI0013603,4267916,810307,822536,1225716,268125,621414,519818,41639.88,37189.98,43035.58,34077.41,39977.79,46300.12
cqu-miR-285-5p_MIMAT0014410,3864,cqu-mir-285_MI0013603,3864,896,674,1184,190,524,396,46.04,30.47,41.57,24.15,33.71,35.27
Cpp-miR-2941-3p-1_supercont3.5:753632e753715:,3080,cqu-mir-2941-1_MI0013622,3080,1337,909,626,75,54,79,68.71,41.1,21.98,9.53,3.47,7.04
cqu-miR-2941-1-5p_MIMAT0014434,25,cqu-mir-2941-1_MI0013622,25,25,0,0,0,0,0,1.28,0,0,0,0,0
cqu-miR-2941-2-5p_MIMAT0016971,0,cqu-mir-2941-2_MI0013623,0,0,0,0,0,0,0,0,0,0,0,0,0
Cpp-miR-2951-1_supercont3.1464:4408e4477:,689804,cqu-mir-2951_MI0013621,689804,109067,142603,229301,43646,87264,77923,5604.71,6447.62,8050.89,5547.2,5614.01,6940.59
cqu-miR-2951-5p_MIMAT0014432,684434,cqu-mir-2951_MI0013621,684434,108792,141602,228381,42932,86276,76451,5590.58,6402.36,8018.59,5456.45,5550.44,6809.48
cqu-miR-2951-3p_MIMAT0014433,880560,cqu-mir-2951_MI0013621,880560,150616,201899,281950,46656,111016,88423,7739.82,9128.62,9899.42,5929.76,7142.06,7875.83
Cpp-miR-2952-3p_supercont3.5:753920e753983:,2355,cqu-mir-2952_MI0013624,2355,803,883,575,37,42,15,41.26,39.92,20.19,4.7,2.7,1.34
Cpp-miR-2-3p-2_supercont3.366:116853e116935:,1269910,cqu-mir-2_MI0013604,1269910,232903,298481,375950,92709,171127,98740,11968.37,13495.46,13199.82,11782.87,11009.21,8794.76
cqu-miR-305-5p_MIMAT0014382,15028,cqu-mir-305_MI0013582,15028,3448,3114,4392,928,1887,1259,177.19,140.8,154.21,117.94,121.4,112.14
cqu-miR-305-3p_MIMAT0014383,33718,cqu-mir-305_MI0013582,33718,6024,5595,8694,3512,5908,3985,309.56,252.97,305.25,446.36,380.08,354.94
Cpp-miR-306_supercont3.83:80431e80502:,779812,cqu-mir-306_MI0013626,779812,142382,143264,241227,60979,129774,62186,7316.69,6477.51,8469.62,7750.14,8348.83,5538.9
cqu-miR-308_MIMAT0014429,483,cqu-mir-308_MI0013618,483,143,96,111,18,64,51,7.35,4.34,3.9,2.29,4.12,4.54
Cpp-miR-309-3p_supercont3.145:66026e66116:,693,cqu-mir-309_MI0013631,693,82,453,78,9,35,36,4.21,20.48,2.74,1.14,2.25,3.21
Cpp-miR-315_supercont3.438:61916e61999:,145120,cqu-mir-315_MI0013569,145120,32667,26932,40189,8914,25572,10846,1678.68,1217.7,1411.06,1132.93,1645.14,966.05
Cpp-miR-316_supercont3.496:152458e152539:,22819,cqu-mir-316_MI0013629,22819,3255,5115,6239,1697,3788,2725,167.27,231.27,219.05,215.68,243.7,242.72
Cpp-miR-317-3p-1_supercont3.36:1133161e1133241:,1324962,cqu-mir-317-1_MI0013583,1324962,253064,283906,374108,87832,193038,133014,13004.4,12836.47,13135.14,11163.03,12418.83,11847.54
cqu-miR-317-5p_MIMAT0014384,2208,cqu-mir-317-1_MI0013583,2208,380,561,506,152,396,213,19.53,25.36,17.77,19.32,25.48,18.97
Cpp-miR-31_supercont3.559:256532e256609:,98525,cqu-mir-31_MI0013614,98525,18045,20281,26372,7620,13526,12681,927.29,916.98,925.94,968.47,870.18,1129.5
cqu-miR-31-3p_MIMAT0014426,15335,cqu-mir-31_MI0013614,15335,2605,3145,4196,1179,2672,1538,133.87,142.2,147.32,149.85,171.9,136.99
Cpp-miR-33_supercont3.1258:69328e69403:,413,cqu-mir-33_MI0013620,413,100,28,128,1,122,34,5.14,1.27,4.49,0.13,7.85,3.03
Cpp-miR-375-1_supercont3.4:25124e25212:,435,cqu-mir-375-1_MI0013630,435,76,128,61,79,45,46,3.91,5.79,2.14,10.04,2.9,4.1
Cpp-miR-71_supercont3.366:117493e117583:,448657,cqu-mir-71_MI0013596,448657,71503,93549,121830,37014,68330,56431,3674.38,4229.71,4277.52,4704.3,4395.91,5026.3
cqu-miR-71-3p_MIMAT0014401,414208,cqu-mir-71_MI0013596,414208,70854,98997,130569,21333,58401,34054,3641.03,4476.03,4584.35,2711.32,3757.15,3033.19
Cpp-miR-79-3p_supercont3.83:80579e80662:,8285,cqu-mir-79_MI0013619,8285,1965,1545,2077,694,1195,809,100.98,69.86,72.92,88.2,76.88,72.06
cqu-miR-79_MIMAT0014430,900,cqu-mir-79_MI0013619,900,207,254,221,66,91,61,10.64,11.48,7.76,8.39,5.85,5.43
Cpp-miR-7_supercont3.1:3357343e3357422:,10956703,cqu-mir-7_MI0013612,10956703,1731832,2143425,3013255,972037,1867032,1229122,88995,96912.39,105797.09,123541.28,120112.87,109477.74
Cpp-miR-87_supercont3.431:379743e379819:,885112,cqu-mir-87_MI0013627,885112,110279,194728,260225,65405,145815,108660,5666.99,8804.39,9136.65,8312.66,9380.8,9678.33
Cpp-miR-8_supercont3.40:815854e815935:,2021747,cqu-mir-8_MI0013602,2021747,486365,374847,490603,152812,291752,225368,24993.22,16948.26,17225.35,19421.68,18769.45,20073.5
cqu-miR-8-5p_MIMAT0014408,434622,cqu-mir-8_MI0013602,434622,81254,102225,159180,23298,39472,29193,4175.46,4621.98,5588.9,2961.07,2539.38,2600.22
Cpp-miR-92a_supercont3.722:174902e174982:,43131,cqu-mir-92_MI0013594,43131,10060,10331,12828,1914,4415,3583,516.96,467.1,450.4,243.26,284.03,319.14
Cpp-miR-932-3p_supercont3.261:301401e301481:,168049,cqu-mir-932_MI0013606,168049,29625,39407,42805,15721,21376,19115,1522.36,1781.74,1502.91,1998.06,1375.19,1702.57
cqu-miR-932-5p_MIMAT0014414,71869,cqu-mir-932_MI0013606,71869,16979,18055,18388,3774,9270,5403,872.51,816.34,645.61,479.66,596.37,481.24
Cpp-miR-957-3p_supercont3.787:29537e29622:,1556689,cqu-mir-957_MI0013572,1556689,263669,303823,427284,140853,266896,154164,13549.36,13736.99,15002.18,17901.75,17170.38,13731.37
Cpp-novel-miR13supercont3.787:29538e29623:,1218,cqu-mir-957_MI0013572,1218,262,150,296,116,251,143,13.46,6.78,10.39,14.74,16.15,12.74
Cpp-miR-965-3p_supercont3.48:484122e484208:,811,cqu-mir-965_MI0013575,811,92,225,178,76,186,54,4.73,10.17,6.25,9.66,11.97,4.81
Cpp-miR-970-3p_supercont3.495:35917e36003:,750874,cqu-mir-970_MI0013579,750874,161006,145867,196978,56863,105004,85156,8273.74,6595.2,6916.01,7227.02,6755.28,7584.83
cqu-miR-980_MIMAT0014428,6043,cqu-mir-980_MI0013617,6043,1510,1227,1907,207,738,454,77.6,55.48,66.96,26.31,47.48,40.44
Cpp-miR-981_supercont3.431:151310e151408:,229183,cqu-mir-981_MI0013584,229183,62191,40905,49332,18165,37752,20838,3195.86,1849.47,1732.07,2308.69,2428.72,1856.04
Cpp-miR-988-3p_supercont3.791:14282e14361:,20247,cqu-mir-988_MI0013567,20247,3581,5222,4632,1535,3180,2097,184.02,236.11,162.63,195.09,204.58,186.78
cqu-miR-988-5p_MIMAT0014362,3553,cqu-mir-988_MI0013567,3553,545,635,1020,289,601,463,28.01,28.71,35.81,36.73,38.66,41.24
Cpp-miR-989-3p_supercont3.315:321306e321394:,6526,cqu-mir-989_MI0013586,6526,4959,887,301,98,198,83,254.83,40.1,10.57,12.46,12.74,7.39
Cpp-miR-993_supercont3.12:55477e55565:,879,cqu-mir-993_MI0013577,879,177,322,162,40,65,113,9.1,14.56,5.69,5.08,4.18,10.06
cqu-miR-993-3p_MIMAT0014376,4689,cqu-mir-993_MI0013577,4689,890,905,1439,257,684,514,45.74,40.92,50.52,32.66,44,45.78
Cpp-miR-996_supercont3.19:1437000e1437085:,6382,cqu-mir-996_MI0013609,6382,842,1401,1739,523,1182,695,43.27,63.34,61.06,66.47,76.04,61.9
Cpp-novel-miR4_supercont3.153:639486e639575:,3049,cqu-mir-998_MI0013632,3049,297,153,452,605,795,747,15.26,6.92,15.87,76.89,51.15,66.54
cqu-miR-998_MIMAT0014445,292424,cqu-mir-998_MI0013632,292424,57109,65114,79353,19832,43447,27569,2934.7,2944.05,2786.13,2520.55,2795.1,2455.57
Cpp-miR-999-3p_supercont3.14:96865e96948:,4914468,cqu-mir-999_MI0013573,4914468,1170545,888781,1402934,371652,728448,352108,60151.71,40185.17,49257.81,47235.2,46863.68,31362.21
cqu-miR-9-3p_MIMAT0014381,12687,cqu-mir-9_MI0013581,12687,2781,2634,3552,766,1588,1366,142.91,119.09,124.71,97.35,102.16,121.67
cqu-miR-9-5p_MIMAT0014380,152526,cqu-mir-9_MI0013581,152526,35300,27811,41554,10811,23253,13797,1813.99,1257.44,1458.98,1374.03,1495.95,1228.9
Cpp-miR-iab-4_supercont3.12:681153e681228:,10,cqu-mir-iab-4_MI0013563,10,9,1,0,0,0,0,0.46,0.05,0,0,0,0